config,k,mean_precision_at_k,mean_recall_at_k,mean_f1_at_k,std_precision_at_k,min_precision_at_k,max_precision_at_k
A_600_100,3,0.4666666666666667,0.5174603174603175,0.4104761904761905,0.3285369202030541,0.0,1.0
A_600_100,5,0.3333333333333333,0.575132275132275,0.35606909430438843,0.2690370836538197,0.0,1.0
A_600_100,7,0.29523809523809524,0.6753968253968254,0.35732487785119366,0.23823125366651202,0.0,0.8571428571428571
B_800_200,3,0.4444444444444444,0.5446825396825398,0.40491064491064493,0.3253000243161777,0.0,1.0
B_800_200,5,0.36000000000000004,0.6464285714285715,0.3895360195360196,0.284855853271189,0.0,1.0
B_800_200,7,0.30476190476190473,0.7131746031746032,0.36899159663865544,0.2466490682661891,0.0,0.8571428571428571
C_900_150,3,0.4444444444444444,0.5813492063492063,0.43838383838383843,0.2999118036141458,0.0,1.0
C_900_150,5,0.3466666666666667,0.6964285714285714,0.40750915750915756,0.2559761893688738,0.0,1.0
C_900_150,7,0.27619047619047615,0.7365079365079364,0.35724867724867726,0.23203163217215503,0.0,0.8571428571428571
D_400_50,3,0.4666666666666667,0.463815987933635,0.3618105968105968,0.3285369202030541,0.0,1.0
D_400_50,5,0.38666666666666666,0.5969155354449472,0.36033633033633033,0.31592645316516915,0.0,1.0
D_400_50,7,0.32380952380952377,0.6292986425339367,0.3326034096622332,0.2980337247175209,0.0,0.8571428571428571
